Column,char,dialog,movie
577,SAM,"Do You Want To Know What Happened To Boromir? ,you Want To Know Why Your Brother Died?  He Tried To Take The Ring From Frodo After Swearing An Oath To Protect Him! ,he Tried To Kill Him! The Ring Drove Your Brother Mad!",The Two Towers
578,SOLDIER,Watch Out!,The Two Towers
579,SAM,Mr. Frodo?,The Two Towers
580,FRODO,They're Here.,The Two Towers
581,FRODO,They've Come.,The Two Towers
582,FARAMIR,Nazgul!,The Two Towers
583,FARAMIR,"Stay Here. Keep Out Of Sight. ,take Cover!",The Two Towers
584,THEODEN,"The Fortress Is Taken. It Is Over.,",The Two Towers
585,ARAGORN,You Said This Fortress Would Never Fall While Your Men Defend It. They Still Defend It. They Have Died Defending It.,The Two Towers
586,WOMAN,They Are Breaking In!,The Two Towers
587,WOMAN,They're Past The Door!,The Two Towers
588,ARAGORN,Is There No Other Way For The Women And Children To Get Out Of The Caves?,The Two Towers
589,ARAGORN,Is There No Other Way?,The Two Towers
590,GAMLING,There Is One Passage. It Leads Into The Mountains. But They Will Not Get Far. The Uruk-hai Are Too Many.,The Two Towers
591,ARAGORN,Tell The Women And Children To Make For The Mountain Pass. And Barricade The Entrance!,The Two Towers
592,THEODEN,"Aragorn! Fall Back To The Keep! Get Your Men Out Of There!,",The Two Towers
593,ARAGORN,"Nan Barad! Nan Barad! , Haldir, Nan Barad!",The Two Towers
594,GIMLI,What Are You Doing? What Are You Stopping For?,The Two Towers
595,HALDIR,Nan Barad! (to The Keep!),The Two Towers
596,ARAGORN,Haldir!,The Two Towers
597,THEODEN,"So Much Death. ,  What Can Men Do Against Such Reckless Hate?",The Two Towers
598,ARAGORN,"Ride Out With Me. ,ride Out And Meet Them.,",The Two Towers
599,THEODEN,For Death And Glory.,The Two Towers
600,ARAGORN,For Rohan. For Your People.,The Two Towers
601,GIMLI,The Sun Is Rising.,The Two Towers
602,GANDALF VOICEOVER,Look To My Coming At First Light On The Fifth Day. At Dawn......Iook To The East.,The Two Towers
603,THEODEN,Yes.........Yes.........The Horn Of Helm Hammerhand......Shall Sound In The Deep......One Last Time.,The Two Towers
604,GIMLI,"Yes!,",The Two Towers
605,THEODEN,"Let This Be The Hour When We Draw Swords Together. ,",The Two Towers
606,THEODEN,"Fell Deeds, Awake. Now For Wrath......Now For Ruin And A Red Dawn.,",The Two Towers
607,THEODEN,"Forth Eorlingas!,",The Two Towers
608,ARAGORN,Gandalf.,The Two Towers
609,GANDALF,"Theoden King Stands Alone.,",The Two Towers
610,SOLDIER,Brace The Gate!,The Two Towers
611,SOLDIER,Hold Them!,The Two Towers
612,THEODEN,To The Gate. Draw Your Swords!,The Two Towers
613,GAMLING,"Make Way!  ,we Cannot Hold Much Longer!",The Two Towers
614,THEODEN,Hold Them!,The Two Towers
615,ARAGORN,How Long Do You Need?,The Two Towers
616,THEODEN,As Long As You Can Give Me.,The Two Towers
617,ARAGORN,Gimli!,The Two Towers
618,THEODEN,Timbers! Brace The Gate!,The Two Towers
619,GIMLI,Come On. We Can Take Them.,The Two Towers
620,ARAGORN,It's A Long Way.,The Two Towers
621,GIMLI,Toss Me.,The Two Towers
622,EOMER,"Not Alone. , Rohirrim!",The Two Towers
623,THEODEN,"Eomer.,",The Two Towers
624,EOMER,To The King!,The Two Towers
625,PIPPIN,Yes!,The Two Towers
626,TREEBEARD,A Hit. A Fine Hit.,The Two Towers
627,TREEBEARD,Break The Dam!  Release The River!,The Two Towers
628,MERRY,Pippin! Hold On!,The Two Towers
629,TREEBEARD,"Hold On, Little Hobbits.",The Two Towers
630,SAM,What Are You Doing?,The Two Towers
631,SAM,Where Are You Going?,The Two Towers
632,SAM,It's Me. It's Your Sam. Don't You Know Your Sam?,The Two Towers
633,ARAGORN,What?,The Two Towers
634,GIMLI,I Cannot Jump The Distance! You'll Have To Toss Me!,The Two Towers
635,GIMLI,Don't Tell The Elf.,The Two Towers
636,ARAGORN,Not A Word.,The Two Towers
637,THEODEN,Shore Up The Door!,The Two Towers
638,SOLDIER,Make Way!,The Two Towers
639,SOLDIER,Follow Me To The Barricade.,The Two Towers
640,SOLDIER,Watch Our Backs!,The Two Towers
641,SOLDIER,Throw Another One Over Here!,The Two Towers
642,THEODEN,Higher!,The Two Towers
643,SOLDIER,Hold Fast The Gate!,The Two Towers
644,THEODEN,Gimli! Aragorn! Get Out Of There!,The Two Towers
645,LEGOLAS,Aragorn!,The Two Towers
646,THEODEN,Pull Everybody Back. Pull Them Back.,The Two Towers
647,GAMLING,Fall Back! Fall Back!,The Two Towers
648,FRODO,"I Can't Do This, Sam.",The Two Towers
649,SAM,"I Know. It's All Wrong. ,by Rights, We Shouldn't Even Be Here. But We Are. It's Like In The Great Stories, Mr. Frodo. The Ones That Really Mattered. ,full Of Darkness And Danger They Were. And Sometimes You Didn't Want To Know The End.....Because How Could The End Be Happy?  How Could The World Go Back To The Way It Was...... When So Much Bad Had Happened?",The Two Towers
650,THEODEN,Victory! We Have Victory!,The Two Towers
651,SAM VOICEOVER,"But In The End, It's Only A Passing Thing...... This Shadow. Even Darkness Must Pass. A New Day Will Come. And When The Sun Shines, It Will Shine Out The Clearer. Those Were The Stories That Stayed With You......That Meant Something. Even If You Were Too Small To Understand Why. But I Think, Mr. Frodo, I Do Understand. I Know Now.",The Two Towers
652,SAM,"Folk In Those Stories......Had Lots Of Chances Of Turning Back, Only They Didn't. They Kept Going......Because They Were Holding On To Something.",The Two Towers
653,FRODO,"What Are We Holding On To, Sam?",The Two Towers
654,SAM,"That There's Some Good In This World, Mr. Frodo. And It's Worth Fighting For.",The Two Towers
655,FARAMIR,"I Think At Last We Understand One Another, Frodo Baggins. ,",The Two Towers
656,MADRIL,"You Know The Laws Of Our Country, The Laws Of Your Father. If You Let Them Go Your Life Will Be Forfeit.",The Two Towers
657,FARAMIR,"Then It Is Forfeit. Release Them.,",The Two Towers
658,THEODEN,They Have Broken Through! The Castle Is Breached. Retreat!,The Two Towers
659,GAMLING,Fall Back!,The Two Towers
660,THEODEN,Retreat!,The Two Towers
661,ARAGORN,Hurry! Inside. Get Them Inside!,The Two Towers
662,GAMLING,Into The Keep!,The Two Towers
663,TREEBEARD,I Will Leave You At The Western Borders Of The Forest. You Can Make Your Way North To Your Homeland From There.,The Two Towers
664,PIPPIN,Wait! Stop! Stop! Turn Around. Turn Around. Take Us South.,The Two Towers
665,TREEBEARD,South? But That Will Lead You Past Lsengard.,The Two Towers
666,PIPPIN,"Yes. Exactly.,if We Go South, We Can Slip Past Saruman Unnoticed. The Closer We Are To Danger, The Farther We Are From Harm. It's The Last Thing He'll Expect.",The Two Towers
667,TREEBEARD,"That Doesn't Make Sense To Me. But Then......You Are Very Small. ,perhaps You're Right. South It Is, Then. Hold On, Little Shirelings. ,i Always Like Going South. Somehow It Feels Like Going Downhill.,",The Two Towers
668,MERRY,Are You Mad? We'll Be Caught.,The Two Towers
669,PIPPIN,"No, We Won't. Not This Time.",The Two Towers
670,SOLDIER,Look! Osgiliath Burns!,The Two Towers
671,SOLDIER,Mordor Has Come.,The Two Towers
672,FRODO,"The Ring Will Not Save Gondor. , It Has Only The Power To Destroy. Please......Iet Me Go.",The Two Towers
673,FARAMIR,Hurry.,The Two Towers
674,FRODO,Faramir! You Must Let Me Go!,The Two Towers
675,TREEBEARD,"And Those Little Family Of Field Mice......That Climb Up Sometimes, And They Tickle Me Awfully.",The Two Towers
676,TREEBEARD,They're Always Trying To Get Somewhere Where They....,The Two Towers
677,TREEBEARD,Many Of These Trees Were My Friends. Creatures I Had Known From Nut And Acorn.,The Two Towers
678,PIPPIN,"I'm Sorry, Treebeard.",The Two Towers
679,TREEBEARD,They Had Voices Of Their Own.,The Two Towers
680,TREEBEARD,Saruman. A Wizard Should Know Better!,The Two Towers
681,TREEBEARD,There Is No Curse In Elvish......Entish Or The Tongues Of Men......For This Treachery.,The Two Towers
682,GIMLI,"You Could Have Picked A Better Spot.,",The Two Towers
683,GIMLI,"Well, Lad, Whatever Luck You Live By, Let's Hope It Lasts The Night.",The Two Towers
684,LEGOLAS,"Your Friends Are With You, Aragorn.",The Two Towers
685,GIMLI,Let's Hope They Last The Night.,The Two Towers
686,ARAGORN,"A Eruch'n, '-dano I Faelas A Hyn An Uben Tanatha Le Faelas! ,",The Two Towers
687,GIMLI,What's Happening Out There?,The Two Towers
688,LEGOLAS,Shall I Describe It To You? Or Would You Like Me To Find You A Box?,The Two Towers
689,PIPPIN,Look! The Trees! They're Moving!,The Two Towers
690,MERRY,Where Are They Going?,The Two Towers
691,TREEBEARD,They Have Business With The Orcs. My Business Is With Lsengard Tonight......With Rock And Stone.,The Two Towers
692,MERRY,Yes!,The Two Towers
693,TREEBEARD,"Come, My Friends. The Ents Are Going To War. It Is Likely......That We Go To Our Doom. Last March......Of The Ents.",The Two Towers
694,THEODEN,So It Begins.,The Two Towers
695,ARAGORN,Tangado A Chadad!,The Two Towers
696,LEGOLAS,Faeg I-varv D'n Na Lanc A Nu Ranc.,The Two Towers
697,ARAGORN,Leithio I Philinn!,The Two Towers
698,GIMLI,"Did They Hit Anything?,",The Two Towers
699,THEODEN,Give Them A Volley.,The Two Towers
700,GAMLING,Fire!,The Two Towers
701,OLD MAN,Fire!,The Two Towers
702,ARAGORN,Ribed Bant!,The Two Towers
703,GIMLI,"Send Them To Me! Come On!,",The Two Towers
704,ARAGORN,"Pendraith! ,",The Two Towers
705,GIMLI,Good!,The Two Towers
706,ARAGORN,Swords! Swords!,The Two Towers
707,GIMLI,Legolas! Two Already!,The Two Towers
708,LEGOLAS,I'm On 17!,The Two Towers
709,GIMLI,I'll Have No Pointy-ear Outscoring Me!,The Two Towers
710,LEGOLAS,Nineteen!,The Two Towers
711,PIPPIN,Merry.,The Two Towers
712,TREEBEARD,"We Have Just Agreed.,",The Two Towers
713,MERRY,Yes?,The Two Towers
714,TREEBEARD,"I Have Told Your Names To The Entmoot......And We Have Agreed......You Are Not Orcs.,",The Two Towers
715,PIPPIN,"Well, That's Good News.",The Two Towers
716,MERRY,And What About Saruman? Have You Come To A Decision About Him?,The Two Towers
717,TREEBEARD,"Now, Don't Be Hasty, Master Meriadoc.",The Two Towers
718,MERRY,"Hasty? Our Friends Are Out There. ,they Need Our Help. They Cannot Fight This War On Their Own.",The Two Towers
719,TREEBEARD,"War? Yes. It Affects Us All. Tree, Root And Twig. But You Must Understand, Young Hobbit......It Takes A Long Time......To Say Anything In Old Entish... ,...And We Never Say Anything......Unless It Is Worth Taking......A Long Time To Say.,",The Two Towers
720,GIMLI,Seventeen! Eighteen! Nineteen! Twenty! Twenty-one!,The Two Towers
721,ARAGORN,Causeway!,The Two Towers
722,THEODEN,Is This It? Is This Is All You Can Conjure Saruman?,The Two Towers
723,ARAGORN,"Togo Hon Dad, Legolas! ,",The Two Towers
724,ARAGORN,Dago Hon! Dago Hon!,The Two Towers
725,THEODEN,Brace The Gate!,The Two Towers
726,THEODEN,Hold Them! Stand Firm!,The Two Towers
727,GIMLI,Aragorn!,The Two Towers
728,ARAGORN,Gimli!,The Two Towers
729,ARAGORN,Hado I Philinn!,The Two Towers
730,ARAGORN,Herio!,The Two Towers
731,TREEBEARD,"The Ents Cannot Hold Back This Storm. We Must Weather Such Things As We Have Always Done.,",The Two Towers
732,MERRY,How Can That Be Your Decision?!,The Two Towers
733,TREEBEARD,"This Is Not Our War.,",The Two Towers
734,MERRY,"But You're Part Of This World! Aren't You?!,",The Two Towers
735,MERRY,You Must Help. Please. You Must Do Something.,The Two Towers
736,TREEBEARD,"You Are Young And Brave, Master Merry. But Your Part In This Tale Is Over. Go Back To Your Home.,",The Two Towers
737,PIPPIN,"Maybe Treebeard's Right. We Don't Belong Here, Merry. It's Too Big For Us. What Can We Do In The End? We've Got The Shire. Maybe We Should Go Home.,",The Two Towers
738,MERRY,"The Fires Of Lsengard Will Spread......And The Woods Of Tuckborough And Buckland Will Burn. And.... ,and All That Was Once Green And Good In This World Will Be Gone. There Won't Be A Shire, Pippin.",The Two Towers
739,SOLDIER,Boromir! Boromir!,The Two Towers
740,BOROMIR,"This City Was Once The Jewel Of Our Kingdom. A Place Of Light And Beauty And Music. And So It Shall Be Once More! ,let The Armies Of Mordor Know This: Never Again Will The Land Of My People Fall Into Enemy Hands. ,this City Of Osgiliath Has Been Reclaimed ,for Gondor!",The Two Towers
741,CROWD,For Gondor!,The Two Towers
742,BOROMIR,For Gondor!,The Two Towers
743,CROWD,For Gondor!,The Two Towers
744,BOROMIR,For Gondor!,The Two Towers
745,FARAMIR,Good Speech. Nice And Short.,The Two Towers
746,BOROMIR,Leaves More Time For Drinking! Break Out The Ale! These Men Are Thirsty!,The Two Towers
747,BOROMIR,"Remember Today, Little Brother. Today, Life Is Good.",The Two Towers
748,BOROMIR,What?,The Two Towers
749,FARAMIR,He's Here.,The Two Towers
750,BOROMIR,"One Moment Of Peace, Can He Not Give Us That?",The Two Towers
751,DENETHOR,Where Is He? Where Is Gondor's Finest? Where's My First-born?,The Two Towers
752,BOROMIR,Father!,The Two Towers
753,DENETHOR,They Say You Vanquished The Enemy Almost Single-handedly.,The Two Towers
754,BOROMIR,They Exaggerate. The Victory Belongs To Faramir Also.,The Two Towers
755,DENETHOR,"But For Faramir, This City Would Still Be Standing.",The Two Towers
756,DENETHOR,Were You Not Entrusted To Protect It?,The Two Towers
757,FARAMIR,"I Would Have Done, But Our Numbers Were Too Few.",The Two Towers
758,DENETHOR,"Oh, Too Few. You Let The Enemy Walk In And Take It On A Whim. Always You Cast A Poor Reflection On Me.",The Two Towers
759,FARAMIR,That Is Not My Intent.,The Two Towers
760,BOROMIR,"You Give Him No Credit, And Yet He Tries To Do Your Will.",The Two Towers
761,BOROMIR,"He Loves You, Father.",The Two Towers
762,DENETHOR,"Do Not Trouble Me With Faramir......I Know His Uses, And They Are Few. We Have More Urgent Things To Speak Of. Elrond Of Rivendell Has Called A Meeting. He Will Not Say Why, But I Have Guessed Its Purpose. It Is Rumored That The Weapon Of The Enemy Has Been Found.",The Two Towers
763,BOROMIR,The One Ring. Lsildur's Bane.,The Two Towers
764,DENETHOR,"Lt Has Fallen Into The Hands Of The Elves. Everyone Will Try To Claim It: Men, Dwarves, Wizards. We Cannot Let That Happen. This Thing Must Come To Gondor.",The Two Towers
765,BOROMIR,Gondor.,The Two Towers
766,DENETHOR,"It's Dangerous, I Know. Ever The Ring Will Seek To Corrupt The Hearts Of Lesser Men. But You, You Are Strong. And Our Need Is Great. It Is Our Blood Which Is Being Spilled, Our People Who Are Dying. Sauron Is Biding His Time. He's Massing Fresh Armies. He Will Return. And When He Does, We Will Be Powerless To Stop Him. You Must Go. ,bring Me Back This Mighty Gift .",The Two Towers
767,BOROMIR,"No. My Place Is Here With My People. ,not In Rivendell.",The Two Towers
768,DENETHOR,Would You Deny Your Own Father?,The Two Towers
769,FARAMIR,Lf There Is Need To Go To Rivendell......Send Me In His Stead.,The Two Towers
770,DENETHOR,"You? Oh, I See. A Chance For Faramir, Captain Of Gondor, To Show His Quality. I Think Not. ,i Trust This Mission Only To Your Brother. The One Who Will Not Fail Me.",The Two Towers
771,BOROMIR,"Remember Today, Little Brother.",The Two Towers
772,SOLDIER,"Captain Faramir! ,we Found The Third One.",The Two Towers
773,FARAMIR,You Must Come With Me. Now.,The Two Towers
774,FARAMIR,Down There.,The Two Towers
775,FARAMIR,"To Enter The Forbidden Pool Bears The Penalty Of Death. ,they Wait For My Command. Shall I Shoot?",The Two Towers
776,GOLLUM,The Rock And Pool Is Nice And Cool So Juicy Sweet Our Only Wish To Catch A Fish So Juicy Sweet,The Two Towers
777,FRODO,Wait. This Creature Is Bound To Me. And I To Him. He Is Our Guide. Please......Iet Me Go Down To Him.,The Two Towers
778,FRODO,"Smeagol. , Master Is Here. Come, Smeagol. Trust Master. Come.",The Two Towers
779,GOLLUM,We Must Go Now?,The Two Towers
780,FRODO,"Smeagol, You Must Trust Master. Follow Me. Come On. Come. Come, Smeagol. Nice Smeagol. That's It. Come On.",The Two Towers
781,FRODO,"Don't Hurt Him! ,smeagol, Don't Struggle. Smeagol, Listen To Me.",The Two Towers
782,ARWEN,May The Grace Of The Valarprotect You.,The Two Towers
783,ARAGORN,Brego.,The Two Towers
784,ELROND,"Arwen. ,tollen I L'. I Chair Gwannar Na Valannor. Si Bado, No C'rar.",The Two Towers
785,ARWEN,I Have Made My Choice.,The Two Towers
786,ELROND,He Is Not Coming Back.Why Do You Linger Herewhen There Is No Hope?,The Two Towers
787,GOLLUM,Master!,The Two Towers
788,FARAMIR,"That's Enough. ,where Are You Leading Them? ,answer Me.",The Two Towers
789,GOLLUM,"Smeagol. Why Does It Cry, Smeagol?",The Two Towers
790,SMEAGOL,Cruel Men Hurts Us. Master Tricksed Us.,The Two Towers
791,GOLLUM,Of Course He Did. I Told You He Was Tricksy. I Told You He Was False.,The Two Towers
792,SMEAGOL,Master Is Our Friend. Our Friend.,The Two Towers
793,GOLLUM,Master Betrayed Us.,The Two Towers
794,SMEAGOL,No. Not Its Business. Leave Us Alone!,The Two Towers
795,GOLLUM,Filthy Little Hobbitses! They Stole It From Us!,The Two Towers
796,ARWEN,There Is Still Hope.,The Two Towers
797,ELROND,If Aragorn Survives This Waryou Will Still Be Parted.If Sauron Is Defeatedand Aragorn Made King......And All That You Hope Forcomes True......You Will Still Have To Tastethe Bitterness Of Mortality.,The Two Towers
798,ELROND VOICEOVER,Whether By The Swordor The Slow Decay Of Time......Aragorn Will Die.And There Will Be No Comfortfor You......No Comfort To Ease The Painof His Passing.He Will Come To Death......An Image Of The Splendorof The Kings Of Men......In Glory Undimmed Beforethe Breaking Of The World.,The Two Towers
799,ELROND VOICEOVER,"But You, My Daughter......You Will Linger On In Darknessand In Doubt......As Nightfall In Winterthat Comes Without A Star.Here You Will Dwell......Bound To Your Griefunder The Fading Trees...... Until All The World Is Changed......And The Long Years Of Your Lifeare Utterly Spent.",The Two Towers
800,ELROND,"Arwen.,there Is Nothing For You Here......Only Death.",The Two Towers
801,ELROND,"A Im, '-'erin Veleth L'n?",The Two Towers
802,ARWEN,"Gerich Veleth N'n, Ada.",The Two Towers
803,GALADRIEL,"I Amar Prestar Aen... Han Mathon Ne Nen, Han Mathon Ne Chae A Han Noston Ned 'wilith.",The Two Towers
804,FARAMIR,What News?,The Two Towers
805,MADRIL,"Our Scouts Report Saruman Has Attacked Rohan. , Theoden's People Have Fled To Helm's Deep. But We Must Look To Our Own Borders. Faramir, Orcs Are On The Move. Sauron Is Marshaling An Army. Easterlings And Southrons Are At The Black Gate.",The Two Towers
806,FARAMIR,How Many?,The Two Towers
807,MADRIL,Some Thousands. More Come Every Day.,The Two Towers
808,FARAMIR,Who's Covering The River To The North?,The Two Towers
809,MADRIL,"We Pulled 500 Men At Osgiliath. If Their City Is Attacked, We Won't Hold It.",The Two Towers
810,SMEAGOL,No. No.,The Two Towers
811,FARAMIR,What Did They Steal?,The Two Towers
812,GOLLUM,My Precious!,The Two Towers
813,SAM,"We Have To Get Out Of Here. You Go. Go, Now. You Can Do It. Use The Ring, Mr. Frodo. Just This Once. Put It On. Disappear.",The Two Towers
814,FRODO,"I Can't. You Were Right, Sam. You Tried To Tell Me But....,i'm Sorry. The Ring's Taking Me, Sam. If I Put It On......He'll Find Me. He'll See.",The Two Towers
815,SAM,Mr. Frodo....,The Two Towers
816,FARAMIR,"So This Is The Answer To All The Riddles. ,here In The Wild I Have You......Two Halflings......And A Host Of Men At My Call.,the Ring Of Power Within My Grasp.,a Chance For Faramir, Captain Of Gondor......To Show His Quality.",The Two Towers
817,FRODO,No!,The Two Towers
818,SAM,"Stop It! Leave Him Alone. ,don't You Understand? He's Got To Destroy It! That's Where We're Going, Into Mordor. To The Mountain Of Fire!",The Two Towers
819,SOLDIER,Osgiliath Is Under Attack. They Call For Reinforcements.,The Two Towers
820,SAM,Please. It's Such A Burden. Will You Not Help Him?,The Two Towers
821,SOLDIER,Captain?,The Two Towers
822,FARAMIR,"Prepare To Leave. ,the Ring Will Go To Gondor.",The Two Towers
823,ARAGORN,"Mae Carnen, Brego, Mellon N'n.",The Two Towers
824,FARAMIR,Saruman Attacks From Lsengard. Sauron From Mordor. The Fight Will Come To Men On Both Fronts. Gondor Is Weak. Sauron Will Strike Us Soon. And He Will Strike Hard. He Knows Now We Do Not Have The Strength To Repel Him.,The Two Towers
825,FARAMIR,My Men Tell Me That You Are Orc Spies.,The Two Towers
826,SAM,Spies? Now Wait Just A Minute.,The Two Towers
827,FARAMIR,"Well, If You're Not Spies, Then Who Are You?",The Two Towers
828,FARAMIR,Speak.,The Two Towers
829,FRODO,"We Are Hobbits Of The Shire. Frodo Baggins Is My Name, And This Is Samwise Gamgee.",The Two Towers
830,FARAMIR,Your Bodyguard?,The Two Towers
831,SAM,His Gardener.,The Two Towers
832,FARAMIR,And Where Is Your Skulking Friend? That Gangrel Creature. He Had An Ill-favored Look.,The Two Towers
833,FRODO,"There Was No Other. ,we Set Out From Rivendell With Seven Companions. One We Lost In Moria......Two Were My Kin......A Dwarf There Was Also. And An Elf And Two Men. Aragorn, Son Of Arathorn, And Boromir Of Gondor.",The Two Towers
834,FARAMIR,You're A Friend Of Boromir?,The Two Towers
835,FRODO,Yes.  For My Part.,The Two Towers
836,WOMAN,He's Alive!,The Two Towers
837,GIMLI,"Where Is He? Where Is He?,get Out Of The Way! I'm Going To Kill Him!,you Are The Luckiest, The Canniest ,.....And The Most Reckless Man I Ever Knew. Bless You, Laddie.",The Two Towers
838,ARAGORN,"Gimli, Where Is The King?",The Two Towers
839,LEGOLAS,"Le Abdollen. ,you Look Terrible.",The Two Towers
840,ARAGORN,Hannon Le.,The Two Towers
841,THEODEN,"A Great Host, You Say?",The Two Towers
842,ARAGORN,All Lsengard Is Emptied.,The Two Towers
843,THEODEN,How Many?,The Two Towers
844,ARAGORN,Ten Thousand Strong At Least.,The Two Towers
845,THEODEN,Ten Thousand?,The Two Towers
846,ARAGORN,It Is An Army Bred For A Single Purpose: To Destroy The World Of Men. They Will Be Here By Nightfall.,The Two Towers
847,THEODEN,Let Them Come!,The Two Towers
848,THEODEN,I Want Every Man And Strong Lad Able To Bear Arms......To Be Ready For Battle By Nightfall.,The Two Towers
849,THEODEN,We Will Cover The Causeway And The Gate From Above. No Army Has Ever Breached The Deeping Wall......Or Set Foot Inside The Hornburg!,The Two Towers
850,FARAMIR,It Will Grieve You Then To Learn That He Is Dead.,The Two Towers
851,FRODO,Dead? How? When?,The Two Towers
852,FARAMIR,"As One Of His Companions, I'd Hoped You Would Tell Me.",The Two Towers
853,FRODO,"If Something Has Happened To Boromir, We Would Have You Tell Us.",The Two Towers
854,FARAMIR,"His Horn Washed Up Upon The Riverbank, About Six Days Past. It Was Cloven In Two. But More Than This, I Know It In My Heart. ,he Was My Brother.",The Two Towers
855,GIMLI,This Is No Rabble Of Mindless Orcs. These Are Uruk-hai. Their Armour Is Thick And Their Shields Broad.,The Two Towers
856,THEODEN,"I Have Fought Many Wars, Master Dwarf. I Know How To Defend My Own Keep.",The Two Towers
857,THEODEN,"They Will Break Upon This Fortress Like Water On Rock. ,saruman's Hordes Will Pillage And Burn. We've Seen It Before. Crops Can Be Resown......Homes Rebuilt. Within These Walls......We Will Outlast Them.",The Two Towers
858,ARAGORN,They Do Not Come To Destroy Rohan's Crops Or Villages. They Come To Destroy Its People......Down To The Last Child.,The Two Towers
859,THEODEN,"What Would You Have Me Do? Look At My Men. Their Courage Hangs By A Thread. If This Is To Be Our End, Then I Would Have Them Make Such An End......As To Be Worthy Of Remembrance.",The Two Towers
860,ARAGORN,"Send Out Riders, My Lord. You Must Call For Aid.",The Two Towers
861,THEODEN,And Who Will Come? Elves? Dwarves? We Are Not So Lucky In Our Friends As You. The Old Alliances Are Dead.,The Two Towers
862,ARAGORN,Gondor Will Answer.,The Two Towers
863,THEODEN,"Gondor?! Where Was Gondor When The Westfold Fell?! Where Was Gondor When Our Enemies Closed In Around Us?! Where Was Gon--? ,no, My Lord Aragorn......We Are Alone. ,get The Women And Children Into The Caves.",The Two Towers
864,GAMLING,We Need More Time To Lay Provisions--,The Two Towers
865,ARWEN VOICEOVER,The Light Of The Evenstardoes Not Wax And Wane.It Is Mine To Give To Whom I Will.Like My Heart.Go To Sleep.,The Two Towers
866,ARAGORN,"I Am Asleep.,this Is A Dream.",The Two Towers
867,ARWEN,"Then It Is A Good Dream. ,sleep.",The Two Towers
868,ARAGORN,Minl' Pendich Nin I Aur Hen Telitha.,The Two Towers
869,GOLLUM,We Wants It.We Needs It.Must Have The Precious.They Stole It From Us.Sneaky Little Hobbitses.Wicked. Tricksy. False.,The Two Towers
870,SMEAGOL,No. Not Master.,The Two Towers
871,GOLLUM,"Yes, Precious. False.They Will Cheat You, Hurt You, Lie!",The Two Towers
872,SMEAGOL,Master's My Friend.,The Two Towers
873,GOLLUM,You Don't Have Any Friends.Nobody Likes You.,The Two Towers
874,SMEAGOL,Not Listening. I'm Not Listening.,The Two Towers
875,GOLLUM,You're A Liar And A Thief.,The Two Towers
876,SMEAGOL,No.,The Two Towers
877,THEODEN,There Is No Time. War Is Upon Us. Secure The Gate.,The Two Towers
878,TREEBEARD,"We Ents Have Not Troubled......About The Wars Of Men And Wizards......For A Very Long Time. But Now, Something Is About To Happen......That Has Not Happened......For An Age.,entmoot.",The Two Towers
879,MERRY,What's That?,The Two Towers
880,TREEBEARD,'tis A Gathering.,The Two Towers
881,MERRY,A Gathering Of What?,The Two Towers
882,TREEBEARD,"Beech. Oak. Chestnut. Ash. Good. Good. Good. Many Have Come.,now We Must Decide If The Ents......Will Go To War.",The Two Towers
883,ARWEN,' I Vethed... N' I Onnad. Boe Bedich Go Frodo. Han B'd L'n.,The Two Towers
884,ARAGORN,Dolen I V'd O Nin.,The Two Towers
885,ARWEN,Si Peliannen I V'd Na Dail L'n. Si Boe '-dhannathach.,The Two Towers
886,ARAGORN,Arwen....,The Two Towers
887,ARWEN,Ae '-esteliach Nad... Estelio Han. Estelio Ammen.,The Two Towers
888,EOWYN,Where Is She?the Woman Who Gave You That Jewel.,The Two Towers
889,ELROND,Our Time Here Is Ending.Arwen's Time Is Ending.Let Her Go.Let Her Take The Ship Into The West.Let Her Bear Away Her Love For Youto The Undying Lands.There It Will Be Ever Green.,The Two Towers
890,ARAGORN,But Never More Than Memory.,The Two Towers
891,ELROND,I Will Not Leave My Daughter Hereto Die.,The Two Towers
892,ARAGORN,She Stays Because She Still Has Hope.,The Two Towers
893,ELROND,She Stays For You.She Belongs With Her People.,The Two Towers
894,ARWEN,Nach Gwannatha Sin?,The Two Towers
895,ARWEN,Ma Nathach Hi Gwannathach Or Minuial Archened?,The Two Towers
896,GOLLUM,Murderer.,The Two Towers
897,SMEAGOL,Go Away.,The Two Towers
898,GOLLUM,Go Away?,The Two Towers
899,SMEAGOL,I Hate You.I Hate You.,The Two Towers
900,GOLLUM,Where Would You Be Without Me?gollum. Gollum.I Saved Us.It Was Me. We Survived Because Of Me.,The Two Towers
901,SMEAGOL,Not Anymore.,The Two Towers
902,GOLLUM,What Did You Say?,The Two Towers
903,SMEAGOL,Master Looks After Us Now.We Don't Need You.,The Two Towers
904,GOLLUM,What?,The Two Towers
905,SMEAGOL,Leave Now......And Never Come Back.,The Two Towers
906,GOLLUM,No.,The Two Towers
907,SMEAGOL,Leave Now And Never Come Back.,The Two Towers
908,SMEAGOL,Leave Now And Never Come Back!,The Two Towers
909,SARUMAN,Gandalf The White.Gandalf The Fool!does He Seek To Humble Mewith His Newfound Piety?,The Two Towers
910,GRIMA,"There Were Threewho Followed The Wizard.An Elf, A Dwarf And A Man.",The Two Towers
911,SARUMAN,You Stink Of Horse.The Man......Was He From Gondor?,The Two Towers
